Time,Coulomb Counting,OCV,KF I=10s P=0.5 R=0.25,KF I=10s P=5.0 R=0.2,KF I=30s P=5.0 R=0.2
0.0,61.13,61.13,61.13,61.13,61.13
11.7,61.06,61.13,61.06,61.06,61.13
23.4,60.98,61.13,60.98,60.98,61.13
35.1,60.91,61.13,60.91,60.91,60.89
46.81,60.83,61.13,60.83,60.83,60.89
58.51,60.75,61.13,60.75,60.75,60.89
70.21,60.67,61.13,60.67,60.67,60.66
81.91,60.59,61.13,60.59,60.59,60.66
93.61,60.51,61.13,60.51,60.51,60.66
105.31,60.44,61.13,60.44,60.44,60.42
117.02,60.36,61.13,60.36,60.36,60.42
128.72,60.28,61.13,60.28,60.28,60.42
140.42,60.2,61.13,60.2,60.2,60.19
152.12,60.12,61.13,60.12,60.12,60.19
163.82,60.04,61.13,60.04,60.04,60.19
175.52,59.97,61.13,59.97,59.97,59.95
187.23,59.89,61.13,59.89,59.89,59.95
198.93,59.81,61.13,59.81,59.81,59.95
210.63,59.73,61.13,59.73,59.73,59.72
222.33,59.65,61.13,59.65,59.65,59.72
234.03,59.57,61.13,59.57,59.57,59.72
245.73,59.5,61.13,59.5,59.5,59.48
257.43,59.42,61.13,59.42,59.42,59.48
269.13,59.34,61.13,59.34,59.34,59.48
280.83,59.26,61.13,59.26,59.26,59.25
292.53,59.18,61.13,59.18,59.18,59.25
304.23,59.1,61.13,59.1,59.1,59.25
315.93,59.03,61.13,59.03,59.03,59.01
327.63,58.95,61.13,58.95,58.95,59.01
339.33,58.87,61.13,58.87,58.87,59.01
351.03,58.79,61.13,58.79,58.79,58.78
362.74,58.71,61.13,58.71,58.71,58.78
374.44,58.63,61.13,58.63,58.63,58.78
386.14,58.55,61.13,58.55,58.55,58.54
397.84,58.48,61.13,58.48,58.48,58.54
409.54,58.4,61.13,58.4,58.4,58.54
421.24,58.32,61.13,58.32,58.32,58.31
432.94,58.24,61.13,58.24,58.24,58.31
444.64,58.16,61.13,58.16,58.16,58.31
456.34,58.08,61.13,58.08,58.08,58.07
468.04,58.0,61.13,58.0,58.0,58.07
479.74,57.93,61.13,57.93,57.93,58.07
491.44,57.85,61.13,57.85,57.85,57.84
503.15,57.77,61.13,57.77,57.77,57.84
514.85,57.69,61.13,57.69,57.69,57.84
526.55,57.61,61.13,57.61,57.61,57.6
538.26,57.53,61.13,57.53,57.53,57.6
549.96,57.46,61.13,57.46,57.46,57.6
561.66,57.38,61.13,57.38,57.38,57.37
573.36,57.3,61.13,57.3,57.3,57.37
585.06,57.22,61.13,57.22,57.22,57.37
596.76,57.14,61.13,57.14,57.14,57.13
610.99,57.06,55.03,55.71,55.11,55.11
622.69,56.97,55.03,55.61,55.01,55.11
634.39,56.89,55.03,55.53,54.94,54.86
646.1,56.81,55.03,55.46,54.86,54.86
657.8,56.73,55.03,55.38,54.78,54.86
669.51,56.66,55.03,55.3,54.7,54.62
681.21,56.58,55.03,55.22,54.62,54.62
692.92,56.5,55.03,55.14,54.54,54.62
704.63,56.42,55.03,55.07,54.47,54.39
716.33,56.34,55.03,54.99,54.39,54.39
728.04,56.26,55.03,54.91,54.31,54.39
739.75,56.19,55.03,54.83,54.23,54.16
751.45,56.11,55.03,54.75,54.15,54.16
763.15,56.03,55.03,54.68,54.08,54.16
774.85,55.95,55.03,54.6,54.0,53.92
786.55,55.87,55.03,54.52,53.92,53.92
798.25,55.8,55.03,54.44,53.84,53.92
809.95,55.72,55.03,54.36,53.76,53.69
821.65,55.64,55.03,54.29,53.69,53.69
833.35,55.56,55.03,54.21,53.61,53.69
845.06,55.48,55.03,54.13,53.53,53.45
856.76,55.41,55.03,54.05,53.45,53.45
868.47,55.33,55.03,53.97,53.37,53.45
880.16,55.25,55.03,53.9,53.3,53.22
891.87,55.17,55.03,53.82,53.22,53.22
903.57,55.09,55.03,53.74,53.14,53.22
915.28,55.02,55.03,53.66,53.06,52.99
926.98,54.94,55.03,53.58,52.98,52.99
938.69,54.86,55.03,53.51,52.91,52.99
950.39,54.78,55.03,53.43,52.83,52.75
962.1,54.71,55.03,53.35,52.75,52.75
973.81,54.63,55.03,53.27,52.67,52.75
985.52,54.55,55.03,53.19,52.59,52.52
997.22,54.47,55.03,53.12,52.52,52.52
1008.93,54.39,55.03,53.04,52.44,52.52
1020.63,54.32,55.03,52.96,52.36,52.29
1032.33,54.24,55.03,52.88,52.28,52.29
1044.03,54.16,55.03,52.81,52.21,52.29
1055.73,54.08,55.03,52.73,52.13,52.05
1067.44,54.01,55.03,52.65,52.05,52.05
1079.14,53.93,55.03,52.57,51.97,52.05
1090.85,53.85,55.03,52.49,51.89,51.82
1102.56,53.77,55.03,52.42,51.82,51.82
1114.25,53.69,55.03,52.34,51.74,51.82
1125.96,53.62,55.03,52.26,51.66,51.59
1137.66,53.54,55.03,52.18,51.58,51.59
1149.37,53.46,55.03,52.11,51.51,51.59
1161.08,53.38,55.03,52.03,51.43,51.35
1172.79,53.31,55.03,51.95,51.35,51.35
1184.49,53.23,55.03,51.87,51.27,51.35
1196.2,53.15,55.03,51.8,51.2,51.12
1207.9,53.07,55.03,51.72,51.12,51.12
1222.13,53.0,50.19,51.06,50.62,50.66
1233.84,52.9,50.19,50.97,50.53,50.4
1245.54,52.82,50.19,50.89,50.45,50.4
1257.25,52.75,50.19,50.81,50.37,50.4
1268.95,52.67,50.19,50.73,50.3,50.16
1280.65,52.59,50.19,50.65,50.22,50.16
1292.36,52.51,50.19,50.58,50.14,50.16
1304.06,52.44,50.19,50.5,50.06,49.93
1315.76,52.36,50.19,50.42,49.99,49.93
1327.47,52.28,50.19,50.34,49.91,49.93
1339.18,52.2,50.19,50.27,49.83,49.7
1350.88,52.12,50.19,50.19,49.75,49.7
1362.58,52.05,50.19,50.11,49.68,49.7
1374.29,51.97,50.19,50.03,49.6,49.47
1385.99,51.89,50.19,49.96,49.52,49.47
1397.7,51.81,50.19,49.88,49.44,49.47
1409.4,51.74,50.19,49.8,49.37,49.23
1421.1,51.66,50.19,49.72,49.29,49.23
1432.8,51.58,50.19,49.65,49.21,49.23
1444.5,51.5,50.19,49.57,49.13,49.0
1456.21,51.43,50.19,49.49,49.05,49.0
1467.91,51.35,50.19,49.41,48.98,49.0
1479.61,51.27,50.19,49.34,48.9,48.77
1491.31,51.19,50.19,49.26,48.82,48.77
1503.02,51.12,50.19,49.18,48.74,48.77
1514.73,51.04,50.19,49.1,48.67,48.53
1526.43,50.96,50.19,49.03,48.59,48.53
1538.13,50.88,50.19,48.95,48.51,48.53
1549.83,50.81,50.19,48.87,48.43,48.3
1561.54,50.73,50.19,48.79,48.36,48.3
1573.24,50.65,50.19,48.72,48.28,48.3
1584.94,50.57,50.19,48.64,48.2,48.07
1596.64,50.5,50.19,48.56,48.12,48.07
1608.35,50.42,50.19,48.48,48.05,48.07
1620.05,50.34,50.19,48.4,47.97,47.84
1631.76,50.26,50.19,48.33,47.89,47.84
1643.47,50.18,50.19,48.25,47.81,47.84
1655.17,50.11,50.19,48.17,47.74,47.6
1666.88,50.03,50.19,48.09,47.66,47.6
1678.58,49.95,50.19,48.02,47.58,47.6
1690.29,49.87,50.19,47.94,47.5,47.37
1701.99,49.8,50.19,47.86,47.42,47.37
1713.7,49.72,50.19,47.78,47.35,47.37
1725.4,49.64,50.19,47.71,47.27,47.14
1737.11,49.56,50.19,47.63,47.19,47.14
1748.81,49.49,50.19,47.55,47.11,47.14
1760.52,49.41,50.19,47.47,47.04,46.9
1772.22,49.33,50.19,47.39,46.96,46.9
1783.92,49.25,50.19,47.32,46.88,46.9
1795.63,49.17,50.19,47.24,46.8,46.67
1807.33,49.1,50.19,47.16,46.72,46.67
1819.04,49.02,50.19,47.08,46.65,46.67
1833.26,48.94,44.78,46.37,45.98,45.89
1844.97,48.85,44.78,46.27,45.88,45.89
1856.67,48.77,44.78,46.2,45.81,45.89
1868.38,48.69,44.78,46.12,45.73,45.66
1880.07,48.61,44.78,46.04,45.65,45.66
1891.78,48.53,44.78,45.96,45.57,45.66
1903.48,48.46,44.78,45.88,45.49,45.42
1915.19,48.38,44.78,45.81,45.42,45.42
1926.89,48.3,44.78,45.73,45.34,45.42
1938.6,48.22,44.78,45.65,45.26,45.19
1950.3,48.15,44.78,45.57,45.18,45.19
1962.01,48.07,44.78,45.5,45.11,45.19
1973.72,47.99,44.78,45.42,45.03,44.96
1985.42,47.91,44.78,45.34,44.95,44.96
1997.11,47.84,44.78,45.26,44.87,44.96
2008.82,47.76,44.78,45.19,44.8,44.72
