Data Point,Voltage
1,4.059
2,4.059
3,4.059
4,4.059
5,4.058
6,4.058
7,4.058
8,4.058
9,4.058
10,4.058
11,4.058
12,4.058
13,4.058
14,4.058
15,4.058
16,4.058
17,4.058
18,4.058
19,4.058
20,4.058
21,4.058
22,4.058
23,4.058
24,4.058
25,4.057
26,4.057
27,4.058
28,4.056
29,4.057
30,4.057
31,4.057
32,4.057
33,4.057
34,4.057
35,4.057
36,4.057
37,4.057
38,4.057
39,4.057
40,4.057
41,4.057
42,4.056
43,4.056
44,4.056
45,4.056
46,4.056
47,4.056
48,4.056
49,4.056
50,4.056
51,4.056
52,4.056
53,4.056
54,4.056
55,4.056
56,4.056
57,4.055
58,4.055
59,4.055
60,4.055
61,4.055
62,4.055
63,4.055
64,4.055
65,4.055
66,4.055
67,4.055
68,4.055
69,4.055
70,4.055
71,4.055
72,4.055
73,4.055
74,4.055
75,4.055
76,4.055
77,4.055
78,4.055
79,4.055
80,4.055
81,4.054
82,4.055
83,4.054
84,4.054
85,4.054
86,4.054
87,4.054
88,4.054
89,4.054
90,4.054
91,4.054
92,4.054
93,4.054
94,4.054
95,4.054
96,4.054
97,4.054
98,4.054
99,4.054
100,4.054
101,4.054
102,4.054
103,4.054
104,4.054
105,4.054
106,4.054
107,4.054
108,4.054
109,4.054
110,4.054
111,4.054
112,4.054
113,4.054
114,4.054
115,4.054
116,4.054
117,4.054
118,4.054
119,4.054
120,4.054
121,4.054
122,4.054
123,4.054
124,4.054
125,4.054
126,4.054
127,4.054
128,4.054
129,4.054
130,4.054
131,4.054
132,4.054
133,4.054
134,4.054
135,4.054
136,4.054
137,4.054
138,4.054
139,4.054
140,4.054
141,4.054
142,4.054
143,4.054
144,4.054
145,4.054
146,4.054
147,4.054
148,4.054
149,4.054
150,4.054
151,4.054
152,4.054
153,4.054
154,4.054
155,4.054
156,4.054
157,4.054
158,4.054
159,4.054
160,4.054
161,4.054
162,4.054
163,4.054
164,4.054
165,4.054
166,4.054
167,4.054
168,4.054
169,4.054
170,4.054
171,4.054
172,4.054
173,4.054
174,4.054
175,4.054
176,4.054
177,4.054
178,4.054
179,4.054
180,4.054
181,4.054
182,4.054
183,4.054
184,4.054
185,4.054
186,4.054
187,4.054
188,4.054
189,4.054
190,4.054
191,4.054
192,4.054
193,4.054
194,4.054
195,4.054
196,4.054
197,4.054
198,4.054
199,4.054
200,4.054
201,4.054
202,4.054
203,4.054
204,4.054
205,4.054
206,4.054
207,4.053
208,4.054
209,4.053
210,4.053
211,4.053
212,4.053
213,4.053
214,4.053
215,4.053
216,4.053
217,4.053
218,4.053
219,4.053
220,4.053
221,4.053
222,4.053
223,4.053
224,4.053
225,4.053
226,4.053
227,4.053
228,4.053
229,4.053
230,4.053
231,4.053
232,4.053
233,4.053
234,4.053
235,4.053
236,4.053
237,4.053
238,4.053
239,4.053
240,4.053
241,4.053
242,4.053
243,4.053
244,4.053
245,4.053
246,4.053
247,4.053
248,4.053
249,4.053
250,4.053
251,4.053
252,4.053
253,4.053
254,4.053
255,4.053
256,4.053
257,4.053
258,4.053
259,4.053
260,4.053
261,4.053
262,4.053
263,4.053
264,4.053
265,4.053
266,4.053
267,4.053
268,4.053
269,4.053
270,4.053
271,4.053
272,4.053
273,4.053
274,4.053
275,4.053
276,4.053
277,4.053
278,4.053
279,4.053
280,4.053
281,4.053
282,4.053
283,4.053
284,4.053
285,4.053
286,4.053
287,4.053
288,4.053
289,4.053
290,4.053
291,4.053
292,4.053
293,4.053
294,4.053
295,4.053
296,4.053
297,4.053
298,4.053
299,4.053
300,4.053
301,4.053
302,4.053
303,4.053
304,4.053
305,4.053
306,4.053
307,4.053
308,4.053
309,4.053
310,4.053
311,4.053
312,4.053
313,4.053
314,4.053
315,4.053
316,4.053
317,4.053
318,4.053
319,4.053
320,4.053
321,4.053
322,4.053
323,4.053
324,4.053
325,4.053
326,4.053
327,4.053
328,4.053
329,4.053
330,4.053
331,4.053
332,4.053
333,4.053
334,4.053
335,4.053
336,4.053
337,4.053
338,4.053
339,4.053
340,4.053
341,4.053
342,4.053
343,4.053
344,4.053
345,4.053
346,4.053
347,4.053
348,4.053
349,4.053
350,4.053
351,4.053
352,4.053
353,4.053
354,4.053
355,4.053
356,4.053
357,4.053
358,4.053
359,4.053
360,4.053
361,4.053
362,4.053
363,4.053
364,4.053
365,4.053
366,4.053
367,4.053
368,4.053
369,4.053
370,4.053
371,4.053
372,4.053
373,4.053
374,4.053
375,4.053
376,4.053
377,4.053
378,4.053
379,4.053
380,4.053
381,4.053
382,4.053
383,4.053
384,4.052
385,4.053
386,4.053
387,4.052
388,4.053
389,4.052
390,4.052
391,4.052
392,4.053
393,4.052
394,4.052
395,4.052
396,4.052
397,4.052
398,4.052
399,4.052
400,4.052
401,4.052
402,4.052
403,4.052
404,4.052
405,4.052
406,4.052
407,4.052
408,4.052
409,4.052
410,4.052
411,4.052
412,4.052
413,4.052
414,4.052
415,4.052
416,4.052
417,4.052
418,4.052
419,4.052
420,4.052
421,4.052
422,4.052
423,4.052
424,4.052
425,4.052
426,4.052
427,4.052
428,4.052
429,4.052
430,4.052
431,4.052
432,4.052
433,4.052
434,4.052
435,4.052
436,4.052
437,4.052
438,4.052
439,4.052
440,4.052
441,4.052
442,4.052
443,4.052
444,4.051
445,4.051
446,4.051
447,4.051
448,4.051
449,4.051
450,4.051
451,4.051
452,4.051
453,4.051
454,4.051
455,4.051
456,4.051
457,4.051
458,4.051
459,4.051
460,4.051
461,4.051
462,4.051
463,4.051
464,4.051
465,4.051
466,4.051
467,4.051
468,4.051
469,4.051
470,4.051
471,4.051
472,4.051
473,4.051
474,4.051
475,4.051
476,4.051
477,4.051
478,4.050
479,4.050
480,4.050
481,4.050
482,4.050
483,4.050
484,4.050
485,4.050
486,4.050
487,4.050
488,4.050
489,4.050
490,4.050
491,4.050
492,4.050
493,4.050
494,4.050
495,4.050
496,4.050
497,4.050
498,4.050
499,4.050
500,4.050
501,4.050
502,4.050
503,4.050
